nActionDay,nTime,nPrice,nVolume
20200226,93110500,4664400,100
20200226,93111810,4662000,200
20200226,93111840,4664300,100
20200226,93111840,4664300,100
20200226,93112290,4664300,100
20200226,93112290,4664400,100
20200226,93112630,4662100,100
20200226,93112630,4662000,100
20200226,93113240,4662100,100
20200226,93113440,4664200,100
20200226,93113650,4662000,100
20200226,93114060,4669900,200
20200226,93114730,4664300,100
20200226,93116230,4662100,100
20200226,93116230,4662100,100
20200226,93116230,4662100,100
20200226,93116950,4662100,100
20200226,93117160,4665000,100
20200226,93118660,4665000,300
20200226,93118690,4665000,100
20200226,93119350,4665000,400
20200226,93119780,4665000,100
20200226,93120800,4665000,100
20200226,93121690,4665000,100
20200226,93122230,4664300,100
20200226,93122230,4664300,100
20200226,93122850,4679500,200
20200226,93122850,4679700,100
20200226,93122860,4664300,100
20200226,93123120,4664300,100
20200226,93124060,4678300,100
20200226,93125060,4678300,100
20200226,93125160,4668700,100
20200226,93125340,4665000,200
20200226,93128020,4679500,100
20200226,93128310,4665000,100
20200226,93128310,4665000,100
20200226,93129930,4679700,100
20200226,93130980,4665100,1000
20200226,93131360,4665100,200
20200226,93132140,4668700,100
20200226,93133410,4679900,100
20200226,93134330,4667000,200
20200226,93135780,4678300,100
20200226,93136030,4678300,100
20200226,93136710,4678300,200
20200226,93137310,4678300,200
20200226,93137960,4679700,100
20200226,93138530,4678300,100
20200226,93139200,4678300,100
20200226,93139760,4678300,100
20200226,93139780,4678300,100
20200226,93140300,4678300,100
20200226,93142920,4679700,100
20200226,93143230,4678400,100
20200226,93143230,4678300,100
20200226,93143290,4678300,100
20200226,93143290,4678300,100
20200226,93143730,4679700,100
20200226,93146380,4679700,100
20200226,93146380,4678300,100
20200226,93146390,4679800,100
20200226,93148730,4679700,100
20200226,93149380,4679700,100
20200226,93149380,4679700,100
20200226,93151620,4679800,100
20200226,93151750,4679800,100
20200226,93152320,4679700,31
20200226,93152370,4679700,100
20200226,93152460,4679800,100
20200226,93153400,4679800,100
20200226,93153520,4679900,100
20200226,93154520,4679900,2300
20200226,93154520,4679900,300
20200226,93154520,4679900,100
20200226,93154590,4679900,2700
20200226,93155370,4679800,100
20200226,93155370,4679800,100
20200226,93155450,4679900,900
20200226,93156020,4679800,100
20200226,93156260,4679800,100
20200226,93157740,4679800,100
20200226,93157740,4679800,100
20200226,93157740,4679800,100
20200226,93157740,4679800,100
20200226,93157740,4679800,100
20200226,93157740,4679700,100
20200226,93158140,4680000,100
20200226,93158330,4679800,100
20200226,93159310,4679800,100
20200226,93159310,4679800,200
20200226,93159310,4679800,500
20200226,93159310,4679700,69
20200226,93159310,4679500,100
20200226,93159410,4679300,100
20200226,93159450,4679300,100
20200226,93159460,4678300,100
20200226,93159530,4679300,200
20200226,93159580,4679300,100
20200226,93159690,4679300,100
20200226,93159710,4679300,100
20200226,93200600,4679300,200
20200226,93200620,4679300,31
20200226,93200870,4679900,100
20200226,93200870,4679300,1169
20200226,93200870,4668700,100
20200226,93200870,4668700,131
20200226,93201380,4668700,69
20200226,93201380,4668700,131
20200226,93201980,4679300,100
20200226,93202350,4679700,100
20200226,93204360,4679900,100
20200226,93204360,4670100,100
20200226,93204560,4680000,100
20200226,93205570,4679700,100
20200226,93205940,4675000,1000
20200226,93205940,4680000,500
20200226,93206700,4680000,100
20200226,93206750,4680000,100
20200226,93207340,4671200,100
